Class,Stat,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15,Level16,Level17,Level18
Player,Health,200,240,280,320,360,400,440,480,520,560,600,640,680,720,760,800,840,880
Player,ExperienceToLevelUp,2000,6000,12000,20000,30000,42000,56000,72000,90000,110000,132000,156000,182000,210000,240000,272000,306000,342000
Player,Damage,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
Player,Mana,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250
Player,ManaRegenRate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Grunt,Health,60,90,120,150,180,210,240,270,300,330,360,390,420,450,480,510,540,570
Grunt,ExperienceReward,80,120,160,200,240,280,320,360,400,440,480,520,560,600,640,680,720,760
Grunt,Damage,8,10,11,13,14,16,18,19,21,22,24,26,27,29,30,32,34,35
Archer,Health,42,63,84,105,126,147,168,189,210,231,252,273,294,315,336,357,378,399
Archer,ExperienceReward,64,96,128,160,192,224,256,288,320,352,384,416,448,480,512,544,576,608
Archer,Damage,12,14,17,19,22,24,26,29,31,34,36,38,41,43,46,48,50,53
Minion,Health,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192,204,216,228
Minion,ExperienceReward,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210
Minion,Damage,3.2,3.84,4.48,5.12,5.76,6.4,7.04,7.68,8.32,8.96,9.6,10.24,10.88,11.52,12.16,12.8,13.44,14.08
